Index,MidpointX,MidpointY,MidpointZ,NozzleX,NozzleY,NozzleZ,PointToX,PointToY,PointToZ,Length,PointX,PointY,PointZ
0,196.91924547434655,-18.628102683335648,104.63250119017535,1095.6204121622366,-122.40633436365005,575.97124695625075,196.27984982406895,-23.894016705821819,104.63250054129097,10.609180418827997,197.55864112462416,-13.362188660849474,104.63250183905973
1,195.64779647658159,-29.099456647019498,104.63250054129097,1151.5726373431771,-139.88728740006755,606.00838555105668,195.01574312909423,-34.304896588217176,104.63250054129097,10.487344070923974,196.27984982406895,-23.894016705821819,104.63250054129097
2,193.82594976200011,-40.451694243837082,104.79824969237386,1550.781370439737,-277.27844770894728,826.03406139793412,192.63615639490598,-46.598491899456988,104.96399884345675,12.526165008748727,195.01574312909423,-34.304896588217176,104.63250054129097
3,190.62815149503567,-53.425666677568209,104.79825156748385,1453.6263714512079,-434.26281256763946,796.24258092160017,188.62014659516535,-60.25284145567943,104.63250429151095,14.236554539392406,192.63615639490598,-46.598491899456988,104.96399884345675
4,186.73910928748137,-65.212685865524293,104.63253090964119,1034.4906548101574,-381.04948460927346,575.97213441984036,184.85807197979739,-70.172530275369155,104.63255752777143,10.60912021300105,188.62014659516535,-60.25284145567943,104.63250429151095
5,182.99864032095007,-75.075453567761571,104.63255752777143,1084.6335865854626,-411.41202719130354,606.00951065277161,181.13920866210276,-79.978376860154,104.63255752777143,10.487352936753453,184.85807197979739,-70.172530275369155,104.63255752777143
6,178.5129725091858,-85.661808273331161,104.79830522105317,1439.3618643174586,-640.34741625996355,826.03520776705921,175.88673635626884,-91.345239686508322,104.9640529143349,12.526129690691413,181.13920866210276,-79.978376860154,104.63255752777143
7,172.30323899728569,-97.493475742314388,104.79830406181745,1307.4606216771149,-769.51873786758756,796.24319196837155,168.71974163830251,-103.64171179812044,104.63255520929998,14.236535056236658,175.88673635626884,-91.345239686508322,104.9640529143349
8,165.70638521516022,-108.00732735481725,104.63254068389944,913.23889590724184,-617.54596949671338,575.97191067858648,162.69302879201794,-112.37294291151406,104.63252615849888,10.609225442411343,168.71974163830251,-103.64171179812044,104.63255520929998
9,159.71428127299322,-116.68840197314641,104.63252615849888,954.65813816743173,-659.02720866043649,606.00892996709263,156.73553375396847,-121.00386103477877,104.63252615849888,10.487349273237887,162.69302879201794,-112.37294291151406,104.63252615849888
10,152.82547187660961,-125.89364482721047,104.79827237559491,1244.2909902977392,-966.2026725580838,826.03469310471542,148.91540999925076,-130.78342861964217,104.96401859269093,12.526139266347705,156.73553375396847,-121.00386103477877,104.63252615849888
11,143.96467079042534,-135.89541672919069,104.7982707075605,1085.3102192935266,-1060.0548644753969,796.24302486030206,139.01393158159993,-141.00740483873918,104.63252282243008,14.236532373775823,148.91540999925076,-130.78342861964217,104.96401859269093
12,135.04339512127228,-144.52497855365752,104.63254016112101,738.91351980025388,-818.15455460292367,575.97233605542419,131.0728586609446,-148.04255226857586,104.63255749981195,10.609144097989507,139.01393158159993,-141.00740483873918,104.63252282243008
13,127.14790889346662,-151.51975439399294,104.63255749981195,769.20260610279922,-868.34212459851767,606.00969373028067,123.22295912598865,-154.99695651941002,104.63255749981195,10.487357207272092,131.0728586609446,-148.04255226857586,104.63255749981195
14,118.25631061030643,-158.80891734444086,104.79830425901859,976.90722375999178,-1235.9050973722144,826.03548561896901,113.28966209462422,-162.62087816947169,104.96405101822523,12.526151012675147,123.22295912598865,-154.99695651941002,104.63255749981195
15,107.25938957823151,-166.39953961961766,104.79830398992007,800.08523596008945,-1288.9832275049655,796.24350284555976,101.22911706183879,-170.17820106976365,104.6325569616149,14.23656434034175,113.28966209462422,-162.62087816947169,104.96405101822523
16,96.532133913654533,-172.64336515246663,104.63255622096214,521.64430496844057,-971.21348135496601,575.97215657098923,91.835150765470274,-175.10852923516961,104.63255548030939,10.609181806148165,101.22911706183879,-170.17820106976365,104.6325569616149
17,87.192107320898359,-177.54538312253032,104.63255548030939,539.04211292859998,-1027.1913581680606,606.00917291195003,82.549063876326443,-179.98223700989107,104.63255548030939,10.487346527416232,91.835150765470274,-175.10852923516961,104.63255548030939
18,76.814513968551893,-182.49481568223655,104.79829837309158,652.74759153364766,-1433.7796653500202,826.03444665279483,71.079964060777343,-185.007394354582,104.96404126587377,12.526066411446209,82.549063876326443,-179.98223700989107,104.63255548030939
19,64.32066789140822,-187.23310757311705,104.79829416436179,468.36239080352607,-1442.9982733590332,796.24215057578726,57.561371722039098,-189.4588207916521,104.63254706284981,14.236482169141274,71.079964060777343,-185.007394354582,104.96404126587377
20,52.410929584306082,-190.72829462070894,104.63254373473376,274.06025600256373,-1067.8278895491321,575.97129218006557,47.260487446573066,-191.99776844976577,104.63254040661769,10.609169244913975,57.561371722039098,-189.4588207916521,104.63254706284981
21,42.169190532679693,-193.25266198926818,104.63254040661769,277.55624528292549,-1126.3432282406288,606.00854748669576,37.077893618786312,-194.50755552877058,104.63254040661769,10.487337519295371,47.260487446573066,-191.99776844976577,104.63254040661769
22,30.908639129340706,-195.57476235801124,104.79829060465401,290.65476681834309,-1548.3292631968106,826.0343415805612,24.739384639895103,-196.64196918725193,104.96404080269033,12.526149368432707,37.077893618786312,-194.50755552877058,104.63254040661769
23,17.64382735149405,-197.18540156565393,104.79829541886141,109.42049559988787,-1513.1552804892419,796.24293647886714,10.548270063092998,-197.72883394405596,104.63255003503249,14.236533779700391,24.739384639895103,-196.64196918725193,104.96404080269033
