index, midpointX, midpointY, midpointZ, nozzleRotationX, nozzleRotationY, nozzleRotationZ, pointToX, pointToY, pointToZ, length
410,108.01546455967508,-36.744043304144228,-24.528051379881358,nan,nan,nan,105.25814812695596,-44.01448259418548,-24.528044085553454,15.551473419630897
411,103.85868872155986,-47.704557506499114,-24.528044085553454,nan,nan,nan,102.45922931616376,-51.394632418812741,-24.528044085553454,7.8930702482210435
412,102.00794266734417,-52.383699313297903,-24.542844784946286,nan,nan,nan,101.55665601852458,-53.372766207783066,-24.557645484339119,2.1745178977160493
413,101.02854427557952,-54.249788664935721,-24.542845610554973,nan,nan,nan,100.50043253263445,-55.126811122088384,-24.528045736770828,2.0477201367868494
414,96.083308104413618,-61.52612574045326,-24.528052008427629,nan,nan,nan,91.666183676192787,-67.925440358818136,-24.52805828008443,15.551490706584103
415,89.424296370485791,-71.173373534349338,-24.52805828008443,nan,nan,nan,87.18240906477881,-74.421306709880554,-24.52805828008443,7.893067490958476
416,86.50753482479432,-75.273634687132414,-24.542858229632031,nan,nan,nan,85.83266058480983,-76.125962664384275,-24.557658179179633,2.1745227146272836
417,85.110008084900159,-76.851115453066143,-24.542857548034068,nan,nan,nan,84.387355584990502,-77.576268241748025,-24.528056916888502,2.047722892621063
418,78.567127691091343,-82.732536698462582,-24.528053324141005,nan,nan,nan,72.746899797192199,-87.888805155177138,-24.528049731393509,15.551483162019522
419,69.792874656408401,-90.505843106383622,-24.528049731393509,nan,nan,nan,66.838849515624617,-93.122881057590092,-24.528049731393509,7.893073462330803
420,65.979610010648045,-93.788934501849184,-24.542849982238959,nan,nan,nan,65.120370505671474,-94.454987946108275,-24.557650233084409,2.174524099610644
421,64.2451754815729,-94.986127778363397,-24.542849713091393,nan,nan,nan,63.369980457474334,-95.517267610618504,-24.528049193098379,2.0477254767247985
422,56.48489767504806,-99.130833785584258,-24.528049781166089,nan,nan,nan,49.599814892621794,-102.74439996055003,-24.528050369233799,15.551491944083011
423,46.105332701113383,-104.57844321565793,-24.528050369233799,nan,nan,nan,42.61085050960498,-106.41248647076583,-24.528050369233799,7.893065424377574
424,41.617186407583375,-106.85355358108022,-24.542851520993516,nan,nan,nan,40.623522305561778,-107.29462069139461,-24.557652672753228,2.1745138468548753
425,39.646652267332058,-107.60087761151387,-24.542853160625608,nan,nan,nan,38.669782229102346,-107.90713453163312,-24.528053648497988,2.0477181429787388
426,31.120007785903244,-109.76798751221108,-24.528051172040271,nan,nan,nan,23.570233342704142,-111.62884049278904,-24.528048695582555,15.551445972450834
427,19.738383262110624,-112.57330788327982,-24.528048695582555,nan,nan,nan,15.906533181517101,-113.51777527377061,-24.528048695582555,7.893058644618079
428,14.8361835932748,-113.70822813862696,-24.542848864083744,nan,nan,nan,13.765834005032501,-113.8986810034833,-24.55764903258493,2.174524849037247
429,12.744056182656545,-113.96225879994122,-24.542848422275171,nan,nan,nan,11.722278360280589,-114.02583659639913,-24.528047811965408,2.0477217707172386
430,3.9465341375833249,-114.02583656644047,-24.528047934405386,nan,nan,nan,-3.8292100851139388,-114.02583653648182,-24.528048056845364,15.55148844539453
431,-7.7757442226972637,-114.02583653648182,-24.528048056845364,nan,nan,nan,-11.722278360280589,-114.02583653648182,-24.528048056845364,7.89306827516665
432,-12.807102385514019,-113.95460359727784,-24.542848441397165,nan,nan,nan,-13.89192641074745,-113.88337065807384,-24.557648825948966,2.1745218773184907
433,-14.899228597557617,-113.70057328237007,-24.542848677332398,nan,nan,nan,-15.906530784367781,-113.51777590666632,-24.528048528715829,2.047722266827997
434,-23.456323919699464,-111.65691728106759,-24.528049997179448,nan,nan,nan,-31.006117055031147,-109.79605865546885,-24.528051465643067,15.551484972280782
435,-34.837972478775654,-108.85158992919034,-24.528051465643067,nan,nan,nan,-38.669827902520161,-107.90712120291181,-24.528051465643067,7.893069659745407
436,-39.706081160771369,-107.57834266777847,-24.542851692235221,nan,nan,nan,-40.742334419022576,-107.24956413264513,-24.557651918827375,2.174520808921218
437,-41.676619047549238,-106.83101552672071,-24.542851650358841,nan,nan,nan,-42.6109036760759,-106.41246692079626,-24.528051381890304,2.0477204404598117
438,-49.495982157655476,-102.79889690656552,-24.528050206386709,nan,nan,nan,-56.381060639235052,-99.185326892334771,-24.528049030883111,15.551487896051503
439,-59.875544166531199,-97.351279629863626,-24.528049030883111,nan,nan,nan,-63.370027693827353,-95.517232367392495,-24.528049030883111,7.893071514568209
440,-64.297486147222287,-94.950016977694332,-24.542849466708574,nan,nan,nan,-65.224944600617235,-94.38280158799617,-24.557649902534035,2.1745174489847607
441,-66.031915451373948,-93.752826667772126,-24.54284981349484,nan,nan,nan,-66.838886302130646,-93.122851747548069,-24.528049724455645,2.047720094854635
442,-72.659110069487966,-87.96658336002784,-24.528052582809096,nan,nan,nan,-78.479333836845285,-82.810314972507612,-24.528055441162547,15.55147689272754
443,-81.433353634478095,-80.193280360770501,-24.528055441162547,nan,nan,nan,-84.387373432110891,-77.57624574903339,-24.528055441162547,7.893061034563602
444,-85.152139416527149,-76.803555489590195,-24.542855976575559,nan,nan,nan,-85.916905400943392,-76.030865230146986,-24.557656511988569,2.17452183599712
445,-86.549664261026919,-75.22607481650833,-24.542856319928507,nan,nan,nan,-87.182423121110446,-74.421284402869674,-24.528056127868446,2.047721104627189
446,-91.5995436783748,-68.021976410436054,-24.528052953272706,nan,nan,nan,-96.016664235639141,-61.622668418002426,-24.528049778676966,15.551475402603089
447,-98.258551541346122,-58.374733906683474,-24.528049778676966,nan,nan,nan,-100.5004388470531,-55.126799395364522,-24.528049778676966,7.89306968962185
448,-101.05806458844037,-54.193543625806186,-24.542850204636853,nan,nan,nan,-101.61569032982764,-53.260287856247857,-24.55765063059674,2.174517740999334
449,-102.03746378085575,-52.32745491996323,-24.542850024250036,nan,nan,nan,-102.45923723188386,-51.394621983678611,-24.528049417903336,2.047719891936181
450,-105.21655329777846,-44.124180403067029,-24.528051469385574,nan,nan,nan,-107.97386936367307,-36.853738822455448,-24.528053520867811,15.551477442909475
451,-109.37332876906916,-33.163667249611187,-24.528053520867811,nan,nan,nan,-110.77278817446526,-29.473595676766926,-24.528053520867811,7.893064003304396
452,-111.09086831510263,-28.434007359044745,-24.542853727428366,nan,nan,nan,-111.40894845573999,-27.394419041322564,-24.55765393398892,2.1745232970254005
